Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-05-2019","2,237","11,391","8.61","0","604","246","28","14","1,043"
"02-05-2019","2,056","4,934","3.73","0","665","174","16","20","787"
"03-05-2019","1,471","220","0.17","0","1,431","9","0","0","30"
"04-05-2019","3,069","12,394","9.37","0","565","224","95","100","2,004"
"05-05-2019","1,797","2,177","1.65","0","802","161","0","0","474"
"06-05-2019","2,361","6,901","5.22","0","468","251","61","11","1,196"
"07-05-2019","2,126","8,387","6.34","0","1,233","166","5","36","848"
"08-05-2019","2,008","4,625","3.55","0","828","156","5","6","684"
"09-05-2019","2,022","5,377","4.07","0","828","162","19","10","732"
"10-05-2019","2,519","7,663","5.79","0","575","315","60","22","1,436"
"11-05-2019","2,679","9,592","7.3","0","319","395","27","18","1,613"
"12-05-2019","2,633","8,552","6.51","0","1,120","175","83","62","1,464"
"13-05-2019","2,974","9,647","7.29","0","242","376","86","31","1,984"
"14-05-2019","1,867","6,768","5.12","0","905","58","5","40","512"
"15-05-2019","2,275","10,296","7.78","0","811","139","29","58","1,016"
"16-05-2019","1,674","990","0.75","0","878","58","17","1","295"
"17-05-2019","2,337","6,367","4.81","0","674","225","44","20","1,141"
"18-05-2019","1,555","1,004","0.76","0","1,394","46","0","0","142"
"19-05-2019","1,550","816","0.62","0","970","46","0","0","137"
"20-05-2019","2,466","6,694","5.06","0","647","196","66","45","1,292"
"21-05-2019","2,010","5,467","4.13","0","748","131","30","15","708"
"22-05-2019","1,915","4,416","3.34","0","744","151","0","0","591"
"23-05-2019","2,208","7,952","6.01","0","725","219","8","27","965"
"24-05-2019","2,358","9,799","7.41","0","697","385","0","0","1,254"
"25-05-2019","2,546","8,294","6.27","0","516","330","39","27","1,452"
"26-05-2019","1,445","0","0","0","1,440","0","0","0","0"
"27-05-2019","1,465","109","0.08","0","1,431","9","0","0","28"
"28-05-2019","2,296","5,370","4.06","0","691","225","43","15","1,107"
"29-05-2019","2,200","8,444","6.38","0","686","168","23","47","959"
"30-05-2019","2,368","5,689","4.3","0","546","265","39","15","1,211"
"31-05-2019","3,000","9,145","6.91","0","429","352","101","30","2,000"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"30-05-2019 11:00 pm","31-05-2019 7:48 am","469","59","32","528","76","344","49"
"29-05-2019 11:09 pm","30-05-2019 8:45 am","513","62","47","575","59","378","76"
"28-05-2019 10:42 pm","29-05-2019 7:18 am","447","69","34","516","77","286","84"
"27-05-2019 11:18 pm","28-05-2019 7:04 am","424","42","34","466","100","256","68"
"24-05-2019 11:20 pm","25-05-2019 8:08 am","470","58","35","528","100","285","85"
"24-05-2019 12:15 am","24-05-2019 6:13 am","332","26","16","358","74","181","77"
"22-05-2019 11:01 pm","23-05-2019 6:42 am","424","37","30","461","94","265","65"
"21-05-2019 10:16 pm","22-05-2019 7:21 am","472","73","27","545","105","296","71"
"20-05-2019 10:40 pm","21-05-2019 7:16 am","462","54","30","516","105","274","83"
"20-05-2019 12:01 am","20-05-2019 8:07 am","454","32","22","486","102","262","90"
"19-05-2019 3:20 am","19-05-2019 10:24 am","391","33","16","424","125","156","110"
"16-05-2019 11:15 pm","17-05-2019 7:12 am","427","50","34","477","73","278","76"
"15-05-2019 11:02 pm","16-05-2019 7:09 am","422","64","36","486","55","318","49"
"15-05-2019 12:21 am","15-05-2019 7:04 am","364","39","25","403","90","206","68"
"13-05-2019 10:56 pm","14-05-2019 7:12 am","486","10","1","496","N/A","N/A","N/A"
"12-05-2019 8:39 pm","13-05-2019 7:20 am","541","100","29","641","139","320","82"
"10-05-2019 8:50 pm","11-05-2019 8:12 am","563","118","27","681","72","403","88"
"09-05-2019 11:24 pm","10-05-2019 7:12 am","420","48","33","468","101","241","78"
"09-05-2019 12:06 am","09-05-2019 7:07 am","376","45","22","421","77","213","86"
"07-05-2019 11:48 pm","08-05-2019 7:13 am","406","39","31","445","92","256","58"
"05-05-2019 8:24 pm","06-05-2019 7:13 am","547","102","32","649","53","400","94"
"05-05-2019 12:15 am","05-05-2019 8:12 am","445","32","27","477","155","203","87"
"03-05-2019 11:50 pm","04-05-2019 7:26 am","413","43","26","456","87","260","66"
"01-05-2019 10:01 pm","02-05-2019 7:26 am","508","57","27","565","117","325","66"
"30-04-2019 11:20 pm","01-05-2019 8:28 am","475","73","27","548","98","284","93"

